MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR,pNN25,pNN50,SD1,SD2,KURT,SKEW,sampen,higuci,datasetId,condition
885.1578446,853.76373,140.9727412,15.55450456,15.55337134,9.063145708,69.49995211,11.13333333,0.533333333,11.00156459,199.0617822,-0.856553797,0.335217989,2.139754004,1.163485204,2,no stress
939.4253707,948.357865,81.31774203,12.96443946,12.96419467,6.272368526,64.36314993,5.6,0,9.170129223,114.6344585,-0.408189973,-0.15528643,2.174498785,1.08471059,2,interruption
898.1860468,907.00686,84.49723585,16.30527867,16.3052737,5.182201271,67.45006559,13.06666667,0.2,11.53341728,118.9392535,0.351789066,-0.656813149,2.135349707,1.17631483,2,interruption
881.7578645,893.46003,90.37053724,15.72046849,15.72006806,5.748590592,68.8095618,11.8,0.133333333,11.11947631,127.3185974,-0.504947496,-0.386138321,2.178340631,1.179688139,2,no stress
809.6253311,811.184865,62.76624216,19.21381887,19.21365745,3.266723944,74.56572752,20.2,0.2,13.59064147,87.71828073,-0.548408182,-0.154252489,2.221120909,1.249611574,2,no stress
923.2838661,617.79416,517.5365438,9.965975715,9.933932544,51.93034366,81.34225389,1.2,0.6,7.026695251,731.8734684,-0.893858386,1.026302241,0.582616332,1.128482736,2,no stress
973.252908,964.65002,82.40517932,10.64419642,10.64363796,7.741794311,62.095066,2,0,7.528700239,116.2950809,-0.44266969,0.102908375,2.161460851,1.158003629,2,no stress
715.9146819,679.499395,131.4771513,9.477726724,9.477716862,13.87222433,85.85770333,2.533333333,0.2,6.703994392,185.8158741,5.224736478,2.452996144,1.110738888,1.146554874,2,no stress
814.2570213,827.52283,87.01445866,14.6322316,14.63127463,5.946766089,74.58885654,7.733333333,0.8,10.34932616,122.6210564,-0.455007899,-0.37195935,2.174232755,1.122470737,2,interruption
959.694591,957.8956,54.90452863,12.01540008,12.01534331,4.569513145,62.72699758,3.266666667,0.2,8.498966087,77.18019243,0.413337931,-0.018134382,2.171599745,1.176053551,2,no stress
848.6209148,851.57313,57.88633609,14.14265421,14.14254781,4.093031988,71.0401156,8.133333333,0,10.00362878,81.25012753,-0.399626536,-0.189780936,2.206018299,1.291188908,2,time pressure
933.5856051,893.898605,130.0819031,16.35778155,16.35654556,7.952294917,65.44386987,11.53333333,1.066666667,11.56968406,183.5994157,-0.42743642,0.717703336,2.022375836,1.119257216,2,no stress
708.8872922,699.62693,114.0183958,11.98799821,11.98792417,9.51104545,87.10376282,5,0.266666667,8.479571354,161.0232469,0.432425144,-0.085968171,2.089419554,1.162478519,2,no stress
772.7466067,775.00477,51.61021081,10.28816219,10.28809068,5.016465512,77.9969138,2,0.066666667,7.277206445,72.62416943,1.743878298,0.072967226,2.082336544,1.243975866,2,interruption
810.7478068,813.95741,60.4710908,19.30348762,19.3034752,3.132651052,74.43309422,21.93333333,0,13.6541734,84.42197103,-0.145055262,-0.285562158,2.19660569,1.302339029,2,no stress
627.7869333,618.86808,121.4178375,17.43763595,17.43763006,6.962975822,99.32867022,11.73333333,1.4,12.33438136,171.267176,-0.993182181,0.135581759,2.147714192,1.26927756,2,no stress
925.6988472,937.190295,147.6702901,14.75628558,14.75628178,10.00728058,66.59425498,8.333333333,0.733333333,10.43774906,208.5763231,0.660459348,0.11376591,1.994747279,1.121437569,2,no stress
761.9227151,777.496885,108.3473764,17.7461082,17.74571432,6.105416194,80.96198497,13.6,1.333333333,12.55230253,152.7113213,2.30699496,-1.16626193,2.021139908,1.157958469,2,no stress
776.4001781,775.153655,50.2057799,10.97499614,10.97486171,4.574560143,77.60486873,2.466666667,0,7.762988959,70.5760347,-0.481195027,0.058914497,2.215251331,1.155670037,2,time pressure
